DMS_id,target_length,n_single_mutations,n_positions,dms_esm_spearman,best_sae_feature,best_sae_abs_spearman,best_sae_spearman,best_sae_esm_spearman,best_sae_perm_p,best_sae_bh_q,best_raw_dim,best_raw_abs_spearman,best_raw_spearman,best_raw_esm_abs_spearman,shuffled_sae_best_abs_spearman_mean,shuffled_sae_best_abs_spearman_p95,motif_positions,motif_hit_count,motif_hits_preview
TCRG1_MOUSE_Tsuboyama_2023_1E0L,37,621,35,0.6761904761904762,9688,0.5593582602443798,-0.5593582602443798,-0.4295124460509792,0.004975124378109453,1.0,318,0.5445378151260504,0.5445378151260504,0.6016806722689075,0.49414800348151916,0.5763004412825715,31,12,ELM:LIG_KLC1_WD_1;ELM:LIG_LIR_Apic_2;ELM:LIG_LIR_Nem_3;ELM:LIG_SH2_GRB2like;ELM:MOD_CK1_1;ELM:MOD_CK2_1;ELM:MOD_GSK3_1;ELM:MOD_N-GLC_1
PIN1_HUMAN_Tsuboyama_2023_1I6C,39,686,39,0.7321862348178138,4551,0.6504850742207563,0.6504850742207563,0.42580615399968125,0.004975124378109453,1.0,36,0.617004048582996,-0.617004048582996,0.6380566801619433,0.4665168014940114,0.5456847648726976,34,17,ELM:CLV_PCSK_KEX2_1;ELM:CLV_PCSK_PC1ET2_1;ELM:DEG_Nend_UBRbox_1;ELM:LIG_14-3-3_CanoR_1;ELM:LIG_LIR_Apic_2;ELM:LIG_SH2_GRB2like;ELM:LIG_SH2_STAT5;ELM:MOD_CK1_1
YNZC_BACSU_Tsuboyama_2023_2JVD,39,714,39,0.4659919028340081,5355,0.5376953283518153,-0.5376953283518153,-0.42184817066255376,0.004975124378109453,1.0,196,0.590080971659919,-0.590080971659919,0.5058704453441295,0.48602338875925305,0.5883852138883775,28,6,ELM:DEG_Nend_Nbox_1;ELM:DOC_PP2A_B56_1;ELM:LIG_FHA_2;ELM:LIG_WD40_WDR5_VDV_2;ELM:MOD_CK2_1;ELM:MOD_SUMO_rev_2
SQSTM_MOUSE_Tsuboyama_2023_2RRU,40,707,40,0.3151969981238274,497,0.6276743318037632,0.6276743318037632,0.2897371567984002,0.004975124378109453,1.0,3,0.6983114446529081,0.6983114446529081,0.5696060037523453,0.46102362954943454,0.5431969626761505,26,8,ELM:DEG_CRBN_cyclicCter_1;ELM:DEG_Nend_UBRbox_1;ELM:LIG_BRCT_BRCA1_1;ELM:LIG_FHA_1;ELM:LIG_NRBOX;ELM:MOD_GSK3_1;ELM:MOD_PIKK_1;ELM:TRG_DiLeu_BaLyEn_6
VG08_BPP22_Tsuboyama_2023_2GP8,40,723,40,0.49718574108818014,4441,0.5672608201270863,0.5672608201270863,0.1434946318434466,0.004975124378109453,1.0,100,0.5442776735459662,0.5442776735459662,0.5585365853658537,0.4618145787760561,0.5483498345341599,36,15,ELM:CLV_NRD_NRD_1;ELM:CLV_PCSK_SKI1_1;ELM:DEG_APCC_TPR_1;ELM:DEG_Cend_FEM1AC_1;ELM:DEG_Nend_Nbox_1;ELM:DOC_USP7_MATH_1;ELM:DOC_USP7_UBL2_3;ELM:LIG_LIR_Nem_3
THO1_YEAST_Tsuboyama_2023_2WQG,41,656,41,0.23571428571428577,7309,0.47240624035430867,-0.47240624035430867,-0.3649924309192226,0.004975124378109453,1.0,192,0.5229965156794424,0.5229965156794424,0.6658536585365853,0.46375998497431664,0.5447358320986431,37,22,ELM:CLV_PCSK_KEX2_1;ELM:CLV_PCSK_PC1ET2_1;ELM:CLV_PCSK_SKI1_1;ELM:LIG_14-3-3_CanoR_1;ELM:LIG_BIR_II_1;ELM:LIG_LIR_Gen_1;ELM:LIG_LIR_Nem_3;ELM:LIG_NRBOX
MAFG_MOUSE_Tsuboyama_2023_1K1V,41,762,41,0.5301393728222997,8494,0.5453792858759038,0.5453792858759038,0.40455052996154134,0.004975124378109453,1.0,121,0.5128919860627177,-0.5128919860627177,0.7193379790940766,0.4612482843575544,0.5671481951368514,37,16,ELM:CLV_NRD_NRD_1;ELM:CLV_PCSK_KEX2_1;ELM:CLV_PCSK_SKI1_1;ELM:DEG_Nend_Nbox_1;ELM:LIG_14-3-3_CanoR_1;ELM:LIG_FHA_1;ELM:LIG_PTB_Phospho_1;ELM:LIG_UBA3_1
OTU7A_HUMAN_Tsuboyama_2023_2L2D,42,635,42,0.3656915971153067,336,0.5488366991435155,-0.5488366991435155,-0.17330192412231937,0.004975124378109453,1.0,284,0.6677740863787376,0.6677740863787376,0.4818896361721092,0.4673754519622229,0.558283693156991,25,9,ELM:CLV_PCSK_SKI1_1;ELM:DEG_CRBN_cyclicCter_1;ELM:LIG_FHA_1;ELM:LIG_FHA_2;ELM:LIG_WD40_WDR5_VDV_2;ELM:MOD_CK2_1;ELM:MOD_GSK3_1;ELM:MOD_PKA_2
SAV1_MOUSE_Tsuboyama_2023_2YSB,43,679,42,0.5619479782837696,9358,0.5346766193733583,-0.5346766193733583,-0.16234210490924836,0.004975124378109453,1.0,36,0.46438700267401345,-0.46438700267401345,0.47556924074224133,0.45337761026711204,0.5330208194674534,40,13,ELM:CLV_NRD_NRD_1;ELM:DOC_USP7_MATH_1;ELM:LIG_EVH1_1;ELM:LIG_LIR_Apic_2;ELM:LIG_SH2_STAT5;ELM:LIG_SH3_3;ELM:MOD_Cter_Amidation;ELM:MOD_GSK3_1
RD23A_HUMAN_Tsuboyama_2023_1IFY,44,798,44,0.30613107822410146,8842,0.6081323637583445,0.6081323637583445,0.12711829011936346,0.004975124378109453,1.0,124,0.6221282593375618,-0.6221282593375618,0.5598308668076111,0.4481613642439262,0.5419158282260086,25,12,ELM:LIG_14-3-3_CanoR_1;ELM:LIG_BIR_II_1;ELM:LIG_LIR_Apic_2;ELM:LIG_LIR_Gen_1;ELM:LIG_SH2_CRK;ELM:LIG_SH2_SFK_2;ELM:LIG_SH2_STAP1;ELM:LIG_SH2_STAT5
ODP2_GEOSE_Tsuboyama_2023_1W4G,44,669,44,0.19591261451726566,6421,0.5639946625339229,-0.5639946625339229,-0.31915833351410294,0.004975124378109453,1.0,275,0.5429175475687105,0.5429175475687105,0.5957716701902749,0.44320732890664905,0.5216100554308717,41,15,ELM:CLV_C14_Caspase3-7;ELM:CLV_NRD_NRD_1;ELM:CLV_PCSK_KEX2_1;ELM:CLV_PCSK_SKI1_1;ELM:DEG_Nend_UBRbox_3;ELM:DOC_MAPK_MEF2A_6;ELM:DOC_MAPK_gen_1;ELM:DOC_USP7_MATH_1
SDA_BACSU_Tsuboyama_2023_1PV0,44,834,44,0.2900634249471458,9989,0.48886171014739566,0.48886171014739566,0.27125224337154036,0.004975124378109453,1.0,88,0.6145172656800565,0.6145172656800565,0.5649048625792813,0.449920943215538,0.5300541085224716,37,18,ELM:CLV_NRD_NRD_1;ELM:CLV_PCSK_KEX2_1;ELM:CLV_PCSK_PC1ET2_1;ELM:DEG_APCC_DBOX_1;ELM:DEG_Nend_UBRbox_1;ELM:DOC_MAPK_gen_1;ELM:LIG_14-3-3_CanoR_1;ELM:LIG_LIR_Gen_1
